CEO_name,Company,Left_Date,Start_Date,YEAR,Salary (x1000),Age,Title,Gender,City,State,Ticker,SEC Filing
"Richard D. Parsons, Esq., J.D.",DIME BANCORP INC,1/17/1995,7/1/1990,1994,540,45,chmn. & CEO,MALE,New York,NY,DME.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DME.1
"James M. Large, Jr.",DIME BANCORP INC,12/31/1996,1/17/1995,1996,700,64,chmn. & CEO,MALE,New York,NY,DME.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DME.1
Lawrence J. Toal,DIME BANCORP INC,Current,1/1/1997,2000,900,63,CEO,MALE,New York,NY,DME.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DME.1
Vincent F. Palagiano,DIME COMMUNITY BANCSHARES,12/31/2016,1/1/1995,2016,725,75,"Executive Chairman, Chief Executive Officer, Chairman of Executive Committee, Chief Executive Officer of the Dime Savings Bank of Williamsburgh and Chairman of the Dime Savings Bank of Williamsburgh",MALE,Hauppauge,NY,DCOM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DCOM
Kenneth J. Mahon,DIME COMMUNITY BANCSHARES,2/1/2021,1/1/2017,2019,825,68,CEO & Director,MALE,Hauppauge,NY,DCOM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DCOM
Kevin M. O'Connor,DIME COMMUNITY BANCSHARES,8/31/2023,2/1/2021,2023,636.923,60,CEO & Director,MALE,Hauppauge,NY,DCOM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DCOM
Richard K. Herzer,DINE BRANDS GLOBAL INC,5/1/2002,1/1/1983,2001,652.5,70,"chairman, president & CEO",MALE,Pasadena,CA,DIN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIN
Julia A. Stewart,DINE BRANDS GLOBAL INC,3/1/2017,5/1/2002,2016,1000,60,"Chairman, Chief Executive Officer and Interim President of Applebee's Business Unit",FEMALE,Pasadena,CA,DIN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIN
Richard J. Dahl,DINE BRANDS GLOBAL INC,Current,3/1/2017,2017,905.068,65,Chairman and Interim Chief Executive Officer,MALE,Pasadena,CA,DIN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIN
Stephen P. Joyce,DINE BRANDS GLOBAL INC,1/4/2021,9/12/2017,2020,1000,60,CEO & Director,MALE,Pasadena,CA,DIN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIN
John W. Peyton,DINE BRANDS GLOBAL INC,Current,1/4/2021,2023,1000,56,CEO & Director,MALE,Pasadena,CA,DIN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIN
"Keh-Shew Lu, Ph.D.",DIODES INC,Current,6/1/2005,2023,805.753,76,Chairman & CEO,MALE,Plano,TX,DIOD,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIOD
A. Blaine Bowman,DIONEX CORP,8/1/2002,1/1/1980,2002,413.137,56,president & CEO,MALE,Sunnyvale,CA,DNEX,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DNEX
Lukas Braunschweiler,DIONEX CORP,5/31/2009,8/1/2002,2009,467.582,53,president & CEO,MALE,Sunnyvale,CA,DNEX,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DNEX
"Franklin R. Witney, Ph.D.",DIONEX CORP,5/17/2011,4/30/2009,2010,450,56,"Chief Executive Officer, President and Director",MALE,Sunnyvale,CA,DNEX,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DNEX
Philip R. Hagerman,DIPLOMAT PHARMACY INC,1/5/2018,1/1/1991,2017,352.469,65,"Co-Founder, Chief Executive Officer & Chairman",MALE,Flint,MI,DPLO,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DPLO
Brian Thomas Griffin,DIPLOMAT PHARMACY INC,Current,6/4/2018,2018,669.231,59,,MALE,Flint,MI,DPLO,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DPLO
Chase Carey,DIRECTV,6/30/2009,12/22/2003,2008,2291.62,55,president & CEO,MALE,El Segundo,CA,DTV.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DTV.2
Larry D. Hunter,DIRECTV,1/3/2009,7/1/2009,2010,1021.176,60,"Executive Vice President of Legal, Human Resources & Administration and General Counsel",MALE,El Segundo,CA,DTV.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DTV.2
Michael D. White,DIRECTV,7/1/2015,1/1/2010,2014,1700.001,62,"Chairman, Chief Executive Officer and President",MALE,El Segundo,CA,DTV.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DTV.2
Peter J. Fontaine,DISCOUNT AUTO PARTS INC,Current,7/1/1994,2000,500000,47,chairman & CEO,MALE,Lakeland,FL,DAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DAP
David W. Nelms,DISCOVER FINANCIAL SVCS,10/1/2018,2/1/2004,2018,1100,57,Chairman and Chief Executive Officer,MALE,Riverwoods,IL,DFS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DFS
Roger Crosby Hochschild,DISCOVER FINANCIAL SVCS,8/14/2023,10/1/2018,2023,1100,58,Adviser,MALE,Riverwoods,IL,DFS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DFS
Charles William Ergen,DISH NETWORK CORP,1/1/2017,1/1/1980,2016,1000,63,"Co-Founder, Executive Chairman and Chief Executive Officer",MALE,Englewood,CO,DISH,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DISH
"Joseph P. Clayton, CPA",DISH NETWORK CORP,1/1/2015,6/20/2011,2014,1000,64,"Chief Executive Officer, President and Director",MALE,Englewood,CO,DISH,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DISH
W. Erik Carlson,DISH NETWORK CORP,11/12/2023,12/5/2017,2022,1000,52,"President, CEO & Director",MALE,Englewood,CO,DISH,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DISH
Michael D. Eisner,DISNEY (WALT) CO,10/1/2005,9/1/1984,2005,1000,62,CEO,MALE,Burbank,CA,DIS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIS
Robert A. Chapek,DISNEY (WALT) CO,11/20/2022,2/24/2020,2022,2500,62,CEO & Director,MALE,Burbank,CA,DIS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIS
Robert A. Iger,DISNEY (WALT) CO,Current,11/20/2022,2023,865.385,72,CEO & Director,MALE,Burbank,CA,DIS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIS
Robert J. Washlow,DISTRIBUTION SOLUTIO GRO INC,4/13/2007,8/1/1999,2006,650,61,chairman & CEO,MALE,Fort Worth,TX,DSGR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DSGR
Thomas J. Neri,DISTRIBUTION SOLUTIO GRO INC,9/24/2012,4/13/2007,2012,381.25,61,"Chief Executive Officer, President, Director and Member of Financial Strategies Committee",MALE,Fort Worth,TX,DSGR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DSGR
Michael G. DeCata,DISTRIBUTION SOLUTIO GRO INC,Current,9/24/2012,2021,560,63,"President, CEO & Director",MALE,Fort Worth,TX,DSGR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DSGR
Cesar A. Lanuza,DISTRIBUTION SOLUTIO GRO INC,Current,4/4/2022,2022,448.079,,President & CEO,MALE,Fort Worth,TX,DSGR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DSGR
"John Bryan King, C.F.A.",DISTRIBUTION SOLUTIO GRO INC,Current,5/1/2022,2023,Mentioned as zero,52,"President, CEO & Chairman",MALE,Fort Worth,TX,DSGR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DSGR
Bernard Kalish,DISTRIBUTION SOLUTIO GRO INC,8/1/1999,,1999,432.386,62,chmn. & CEO,MALE,Fort Worth,TX,DSGR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DSGR
Timothy K. Montgomery,DITECH NETWORKS INC,8/15/2007,9/1/1998,2006,375,53,president & CEO,MALE,San Jose,CA,DITC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DITC
Todd G. Simpson,DITECH NETWORKS INC,3/15/2011,9/25/2007,2010,315.624,45,Director,MALE,San Jose,CA,DITC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DITC
Kenneth Dale Naumann,DITECH NETWORKS INC,12/4/2012,5/31/2011,2011,237.5,43,,MALE,San Jose,CA,DITC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DITC
Jennifer F. Francis,DIVERSIFIED HEALTHCARE TRUST,12/31/2023,6/4/2021,2023,Mentioned as zero,58,"President, CEO & Managing Trustee",FEMALE,Newton,MA,DHC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHC
David J. Hegarty,DIVERSIFIED HEALTHCARE TRUST,1/1/2011,,2017,Mentioned as zero,60,President and Chief Operating Officer,MALE,Newton,MA,DHC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHC
Daniel K. Frierson,DIXIE GROUP INC,Current,1/1/1980,2023,625,81,Chairman & CEO,MALE,Dalton,GA,DXYN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DXYN
Leslie H. Cross,DJO INC,Current,8/1/2001,2007,1300000,56,president & CEO,MALE,Vista,CA,DJO,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DJO
Yvon Pierre Cariou,DMC GLOBAL INC,3/1/2013,11/1/2000,2012,483.147,66,"Chief Executive Officer, President, Director and Member of Quality & Safety Committee",MALE,Broomfield,CO,BOOM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BOOM
Kevin T. Longe,DMC GLOBAL INC,1/17/2023,3/1/2013,2022,640,63,Executive Director,MALE,Broomfield,CO,BOOM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BOOM
David C. Aldous,DMC GLOBAL INC,Current,1/15/2023,2023,334.615,66,Interim Co-CEO & Director,MALE,Broomfield,CO,BOOM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BOOM
Robert R. Workman,DNOW INC,11/1/2019,2/1/2014,2019,710.231,50,"Chief Executive Officer, President and Director",MALE,Houston,TX,DNOW,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DNOW
David A. Cherechinsky,DNOW INC,Current,6/1/2020,2023,947.116,59,"CEO, President & Director",MALE,Houston,TX,DNOW,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DNOW
James P. Dolan,DOLAN CO,Current,7/1/2003,2012,561.6,62,"Founder, Chairman, Chief Executive Officer and President",MALE,Minneapolis,MN,DOLNQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOLNQ
"Norvall William Jasper, Jr.",DOLBY LABORATORIES INC,3/27/2009,2/1/1979,2008,650,61,,MALE,San Francisco,CA,DLB,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLB
Kevin J. Yeaman,DOLBY LABORATORIES INC,Current,3/28/2009,2023,928.75,57,"President, CEO & Director",MALE,San Francisco,CA,DLB,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLB
David H. Murdock,DOLE FOOD CO INC,4/1/2017,7/1/1985,2016,2500,92,Chairman and Chief Executive Officer,MALE,Charlotte,NC,DOLE.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOLE.1
David A. DeLorenzo,DOLE FOOD CO INC,2/21/2013,6/5/2007,2012,1200,65,Director and Member of Executive Committee,MALE,Charlotte,NC,DOLE.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOLE.1
"Cal Turner, Jr.",DOLLAR GENERAL CORP,11/11/2002,1/1/1977,2002,800.03,62,chairman & CEO,MALE,Goodlettsville,TN,DG,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DG
"David A. Perdue, Jr.",DOLLAR GENERAL CORP,7/1/2007,4/2/2003,2006,1037.54,57,chairman & CEO,MALE,Goodlettsville,TN,DG,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DG
David L. Bere,DOLLAR GENERAL CORP,1/21/2008,7/6/2007,2007,717.528,54,president & chief operating officer,MALE,Goodlettsville,TN,DG,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DG
Richard W. Dreiling,DOLLAR GENERAL CORP,6/3/2015,1/21/2008,2014,1323.789,61,Chairman and Chief Executive Officer,MALE,Goodlettsville,TN,DG,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DG
Jeffery Carl Owen,DOLLAR GENERAL CORP,10/12/2023,11/1/2022,2023,792.439,53,CEO & Director,MALE,Goodlettsville,TN,DG,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DG
Todd J. Vasos,DOLLAR GENERAL CORP,Current,10/12/2023,2022,1391.72,60,Senior Advisor,MALE,Goodlettsville,TN,DG,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DG
"Macon F. Brock, Jr.",DOLLAR TREE INC,1/1/2003,1/1/1993,2003,693.75,62,chairman & CEO,MALE,Chesapeake,VA,DLTR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLTR
Bobby L. Sasser,DOLLAR TREE INC,9/18/2017,1/1/2004,2017,1765.385,65,Executive Chairman,MALE,Chesapeake,VA,DLTR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLTR
Gary M. Philbin,DOLLAR TREE INC,7/1/2020,9/18/2017,2019,1400,62,"President, CEO & Director",MALE,Chesapeake,VA,DLTR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLTR
Michael A. Witynski,DOLLAR TREE INC,1/29/2023,7/1/2020,2022,1435.538,59,"President, CEO & Director",MALE,Chesapeake,VA,DLTR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLTR
Richard W. Dreiling,DOLLAR TREE INC,Current,1/29/2023,2023,1350,70,Executive Chairman & CEO,MALE,Chesapeake,VA,DLTR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLTR
Thos. E. Capps,DOMINION ENERGY INC,12/31/2005,5/1/1990,2005,1231.324,70,chairman & CEO,MALE,Richmond,VA,D,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=D
"Thomas F. Farrell, II",DOMINION ENERGY INC,10/1/2020,1/1/2006,2020,1466.244,66,Executive Chairman,MALE,Richmond,VA,D,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=D
Robert M. Blue,DOMINION ENERGY INC,Current,10/1/2020,2023,1225,55,"President, CEO & Chairman of the Board",MALE,Richmond,VA,D,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=D
David Allen Brandon,DOMINO'S PIZZA INC,3/1/2010,3/1/1999,2009,917.692,57,"Chairman, Special Advisor to Chief Executive Officer, Chairman of Dominos Inc and Chief Executive Officer of Dominos Inc",MALE,Ann Arbor,MI,DPZ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DPZ
J. Patrick Doyle,DOMINO'S PIZZA INC,6/30/2018,3/8/2010,2017,1025,54,"Chief Executive Officer, President and Director",MALE,Ann Arbor,MI,DPZ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DPZ
"Richard E. Allison, Jr.",DOMINO'S PIZZA INC,4/30/2022,7/1/2018,2021,904,54,"President, CEO, Interim Principal Financial Officer & Director",MALE,Ann Arbor,MI,DPZ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DPZ
Russell J. Weiner,DOMINO'S PIZZA INC,Current,5/1/2022,2023,875,55,CEO & Director,MALE,Ann Arbor,MI,DPZ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DPZ
"Raymond Royer, O.C., O.Q., FCPA, FCA",DOMTAR CORP,12/31/2008,1/1/1996,2008,1035.338,69,,MALE,Fort Mill,SC,UFS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UFS
"John D. Williams, BA",DOMTAR CORP,6/30/2023,1/1/2009,2022,1213.8,68,"President, CEO & Director",MALE,Fort Mill,SC,UFS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UFS
Steven M. Henry,DOMTAR CORP,Current,6/30/2023,2023,548.077,50,President & CEO,MALE,Fort Mill,SC,UFS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UFS
William G. Van Dyke,DONALDSON CO INC,8/1/2004,8/1/1996,2003,665,58,"chairman, president & CEO",MALE,Bloomington,MN,DCI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DCI
William M. Cook,DONALDSON CO INC,4/1/2015,8/1/2004,2015,861.246,62,Chairman of The Board,MALE,Bloomington,MN,DCI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DCI
Tod E. Carpenter,DONALDSON CO INC,Current,4/1/2015,2023,1063.846,64,"Chairman, CEO & President",MALE,Bloomington,MN,DCI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DCI
William A. Hodder,DONALDSON CO INC,7/31/1996,,1996,571.154,64,chmn. & CEO,MALE,Bloomington,MN,DCI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DCI
John R. Walter,DONNELLEY (R R) & SONS CO,10/23/1996,1/1/1989,1996,986.79,49,chmn. & CEO,MALE,Chicago,IL,RRD,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RRD
William L. Davis,DONNELLEY (R R) & SONS CO,2/27/2004,3/18/1997,2003,900,59,"chairman, president & CEO",MALE,Chicago,IL,RRD,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RRD
Mark Alan Angelson,DONNELLEY (R R) & SONS CO,4/30/2007,2/27/2004,2006,1000,55,CEO,MALE,Chicago,IL,RRD,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RRD
Daniel Lee Knotts,DONNELLEY (R R) & SONS CO,2/1/2022,10/1/2016,2021,1135,57,"President, CEO & Director",MALE,Chicago,IL,RRD,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RRD
"Thomas James Quinlan, III",DONNELLEY (R R) & SONS CO,Current,2/1/2022,2016,900,53,"Chief Executive Officer, President and Director",MALE,Chicago,IL,RRD,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RRD
Daniel N. Leib,DONNELLEY FINANCIAL SOLTNS,Current,10/1/2016,2023,815,57,"President, CEO & Director",MALE,Chicago,IL,DFIN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DFIN
John C. Hadjipateras,DORIAN LPG LTD,Current,7/1/2013,2022,650,73,"Chairman of the Board, President & CEO",MALE,Stamford,CT,LPG,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LPG
Richard N. Berman,DORMAN PRODUCTS INC,1/1/2011,10/1/1978,2010,545.872,54,"Chairman, Chief Executive Officer and Member of Executive Committee",MALE,Colmar,PA,DORM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DORM
Steven L. Berman,DORMAN PRODUCTS INC,9/1/2015,1/30/2011,2015,632.816,55,"Founder, Executive Chairman, Secretary, Treasurer and Member of Executive Committee",MALE,Colmar,PA,DORM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DORM
Mathias J. Barton,DORMAN PRODUCTS INC,12/31/2018,9/1/2015,2018,700,59,"President, Chief Executive Officer & Director",MALE,Colmar,PA,DORM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DORM
Kevin M. Olsen,DORMAN PRODUCTS INC,Current,1/1/2019,2023,884.513,51,"President, CEO & Director",MALE,Colmar,PA,DORM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DORM
Mark S. Zagorski,DOUBLEVERIFY HOLD INC,Current,7/21/2020,2023,550,54,CEO & Director,MALE,New York,NY,DV,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DV
Howard M. Lorber,DOUGLAS ELLIMAN INC,Current,12/29/2021,2023,2018.678,74,"Chairman, President & CEO",MALE,Miami,FL,DOUG,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOUG
Jordan L. Kaplan,DOUGLAS EMMETT INC,Current,1/1/2005,2023,800,62,"President, CEO & Director",MALE,Santa Monica,CA,DEI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DEI
Gary L. Roubos,DOVER CORP,5/1/1994,1/1/1981,1993,610,57,chmn. & CEO,MALE,Downers Grove,IL,DOV,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOV
Thomas L. Reece,DOVER CORP,12/31/2004,5/1/1994,2004,1000,62,chairman & CEO,MALE,Downers Grove,IL,DOV,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOV
Ronald L. Hoffman,DOVER CORP,11/30/2008,1/1/2005,2008,1119.792,60,president & CEO,MALE,Downers Grove,IL,DOV,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOV
Robert A. Livingston,DOVER CORP,4/30/2018,12/1/2008,2017,1060,63,"President, CEO & Director",MALE,Downers Grove,IL,DOV,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOV
Richard Joseph Tobin,DOVER CORP,Current,5/1/2018,2023,1292.5,62,"President, CEO & Chairman of the Board",MALE,Downers Grove,IL,DOV,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOV
James R. Fitterling,DOW INC,Current,8/1/2018,2023,1685.169,61,Chairman & CEO,MALE,Midland,MI,DOW,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOW
Peter R. Kann,DOW JONES & CO INC,2/1/2006,1/1/1991,2005,990.315,63,"chairman, CEO",MALE,New York,NY,DJ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DJ
Richard F. Zannino,DOW JONES & CO INC,Current,2/1/2006,2006,883.846,48,CEO,MALE,New York,NY,DJ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DJ
Stephen W. Prough,DOWNEY FINANCIAL CORP,2/14/1997,6/22/1994,1996,400.008,51,pres. & CEO,MALE,Newport Beach,CA,DWNFQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DWNFQ
James W. Lokey,DOWNEY FINANCIAL CORP,11/20/1998,2/15/1997,1998,275,50,pres. & CEO,MALE,Newport Beach,CA,DWNFQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DWNFQ
Daniel D. Rosenthal,DOWNEY FINANCIAL CORP,7/1/2008,1/1/1998,2007,650,53,president & CEO,MALE,Newport Beach,CA,DWNFQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DWNFQ
Marangal I. Domingo,DOWNEY FINANCIAL CORP,8/31/2004,2/2/2004,2004,435.095,,president & CEO,MALE,Newport Beach,CA,DWNFQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DWNFQ
Robert L. Kemper,DOWNEY FINANCIAL CORP,4/1/1994,,1993,425,,CEO,MALE,Newport Beach,CA,DWNFQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DWNFQ
Jeffrey A. Tangney,DOXIMITY INC,Current,4/1/2010,2022,240,50,"Co-Founder, CEO & Chairperson",MALE,San Francisco,CA,DOCS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOCS
Allen M. Hill,DPL INC,1/1/2003,1/1/1997,2002,730,56,president & CEO,MALE,Dayton,OH,AES5,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES5
"Stephen F. Koziar, Jr.",DPL INC,5/16/2004,1/1/2003,2003,600,,president & CEO,MALE,Dayton,OH,AES5,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES5
James V. Mahoney,DPL INC,10/1/2006,5/16/2004,2006,433.077,60,president & CEO,MALE,Dayton,OH,AES5,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES5
Paul M. Barbas,DPL INC,1/1/2011,10/2/2006,2011,712.039,54,Chief Executive Officer and President,MALE,Dayton,OH,AES5,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES5
Peter H. Forster,DPL INC,12/31/1996,,1996,597,54,chmn. & CEO,MALE,Dayton,OH,AES5,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES5
Larry D. Young,DR PEPPER SNAPPLE GROUP INC,7/9/2018,10/1/2007,2017,1150,62,"CEO, President & Executive Director",MALE,Plano,TX,DPS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DPS
Gilbert M. Cassagne,DR PEPPER SNAPPLE GROUP INC,10/12/2007,,2007,714.808,50,former president & CEO,MALE,Plano,TX,DPS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DPS
Carl A. Gilbert,DRAVO CORP,Current,1/1/1995,1997,290,56,pres. & CEO,MALE,Pittsburgh,PA,DRV.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRV.1
Carl A. Torbert,DRAVO CORP,1/1/1995,,1994,300,,chmn. & CEO,MALE,Pittsburgh,PA,DRV.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRV.1
Jeffrey Katzenberg,DREAMWORKS ANIMATION SKG INC,8/22/2016,10/1/2004,2015,3900000,64,"Co-Founder, Chief Executive Officer, Director and Chairman of Nominating & Governance Committee",MALE,Glendale,CA,DWA,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DWA
John Joseph Murphy,DRESSER INDUSTRIES INC,11/1/1995,8/1/1983,1995,998,64,chmn. & CEO,MALE,Greenville,TX,DI.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DI.
William E. Bradford,DRESSER INDUSTRIES INC,Current,11/1/1995,1997,841.667,63,chmn. & CEO,MALE,Greenville,TX,DI.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DI.
"Vincent R. Volpe, Jr.",DRESSER-RAND GROUP INC,9/1/2015,9/1/2000,2014,940,56,"Chief Executive Officer, President and Executive Director",MALE,Houston,TX,DRC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRC
T. Gary Rogers,DREYER'S GRAND ICE CRM HLDGS,Current,2/1/1977,2004,870.192,62,chairman & CEO,MALE,Oakland,CA,DRYR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRYR
Howard Stein,DREYFUS CORP,Current,12/1/1970,1993,237.981,67,chmn. & CEO,MALE,New York,NY,DRY.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRY.1
Larry E. Reimert,DRIL-QUIP INC,1/1/2011,1/1/1981,2010,589.615,62,Co-Chairman and Technical & Strategic Advisor,MALE,Houston,TX,DRQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRQ
