CEO_name,Company,Left_Date,Start_Date,YEAR,Salary (x1000),Age,Title,Gender,City,State,Ticker,SEC Filing
Barry G. Caldwell,STAAR SURGICAL CO,3/1/2015,11/27/2007,2014,516.346,63,Consultant,MALE,Lake Forest,CA,STAA,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STAA
Caren L. Mason,STAAR SURGICAL CO,12/31/2022,3/1/2015,2022,852.318,68,Advisor,FEMALE,Lake Forest,CA,STAA,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STAA
Thomas G. Frinzi,STAAR SURGICAL CO,Current,1/1/2023,2023,788.462,67,"President, CEO & Chairman",MALE,Lake Forest,CA,STAA,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STAA
Benjamin S. Butcher,STAG INDUSTRIAL INC,7/1/2022,7/1/2010,2021,650,68,Chairman & CEO,MALE,Boston,MA,STAG,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STAG
William R. Crooker,STAG INDUSTRIAL INC,Current,7/1/2022,2023,675,43,"CEO, President & Director",MALE,Boston,MA,STAG,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STAG
James R. Scarborough,STAGE STORES INC,11/3/2008,8/1/2000,2008,753.267,57,chairman & CEO,MALE,Houston,TX,SSINQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SSINQ
Andrew T. Hall,STAGE STORES INC,3/28/2012,11/3/2008,2011,841.346,50,"Chief Executive Officer, President and Director",MALE,Houston,TX,SSINQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SSINQ
Michael L. Glazer,STAGE STORES INC,4/19/2012,3/28/2012,2018,1042.308,69,"Chief Executive Officer, President and Director",MALE,Houston,TX,SSINQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SSINQ
Kenneth T. McBride,STAMPS.COM INC,11/1/2021,8/1/2001,2020,879.831,52,"CEO, President & Chairman of the Board",MALE,El Segundo,CA,STMP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STMP
Eric Edmond Parsons,STANCORP FINANCIAL GROUP INC,7/1/2009,1/1/2003,2008,725,59,chairman & CEO,MALE,Portland,OR,SFG,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SFG
"John Gregory Ness, LLIF",STANCORP FINANCIAL GROUP INC,Current,7/1/2009,2015,969.231,57,"Chairman, Chief Executive Officer, President, Chairman of Standard Insurance Company, Chief Executive Officer of Standard Insurance Company and President of Standard Insurance Company",MALE,Portland,OR,SFG,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SFG
Ronald E. Timpe,STANCORP FINANCIAL GROUP INC,12/31/2002,,2002,660,63,"chairman, president & CEO",MALE,Portland,OR,SFG,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SFG
Paul Richman,STANDARD MICROSYSTEMS CORP,3/1/1999,7/7/1995,1998,416,56,chmn. & CEO,MALE,Hauppauge,NY,SMSC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SMSC
Steven J. Bilodeau,STANDARD MICROSYSTEMS CORP,10/1/2008,3/1/1999,2008,633.865,51,chairman,MALE,Hauppauge,NY,SMSC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SMSC
Christine King,STANDARD MICROSYSTEMS CORP,8/2/2012,10/20/2008,2011,635,62,"Chief Executive Officer, President and Director",FEMALE,Hauppauge,NY,SMSC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SMSC
Victor F. Trizzino,STANDARD MICROSYSTEMS CORP,7/7/1995,,1994,410,54,pres. & CEO,MALE,Hauppauge,NY,SMSC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SMSC
Lawrence I. Sills,STANDARD MOTOR PRODS,3/31/2016,12/1/2000,2015,550,75,Chairman and Chief Executive Officer,MALE,Long Island City,NY,SMP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SMP
Eric Philip Sills,STANDARD MOTOR PRODS,Current,3/1/2016,2023,720,54,"CEO, President & Chairman",MALE,Long Island City,NY,SMP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SMP
Bernard Fife,STANDARD MOTOR PRODS,Current,,1996,259,81,co-CEO & co-chmn.,MALE,Long Island City,NY,SMP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SMP
Nathaniel L. Sills,STANDARD MOTOR PRODS,Current,,1998,76,91,co-CEO & co-chmn.,MALE,Long Island City,NY,SMP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SMP
"James S. Reid, Jr.",STANDARD PRODUCTS CO,7/24/1997,1/1/1962,1997,600,71,chmn. & CEO,MALE,Dearborn,MI,SPD.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPD.1
Ronald L. Roudebush,STANDARD PRODUCTS CO,Current,7/24/1997,1998,500,51,vice-chmn. & CEO,MALE,Dearborn,MI,SPD.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPD.1
John K. Darragh,STANDARD REGISTER CO,12/16/1994,6/1/1983,1994,580.5,65,pres. & CEO,MALE,Dayton,OH,SRCTQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRCTQ
Peter S. Redding,STANDARD REGISTER CO,Current,12/17/1994,1999,530.25,61,pres. & CEO,MALE,Dayton,OH,SRCTQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRCTQ
Dennis L. Rediker,STANDARD REGISTER CO,9/12/2008,6/1/2000,2008,583.692,64,former president & CEO,MALE,Dayton,OH,SRCTQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRCTQ
"Joseph P. Morgan, Jr.",STANDARD REGISTER CO,1/1/2015,9/12/2008,2013,697.692,53,"Chief Executive Officer, President, Director and Member of Executive Committee",MALE,Dayton,OH,SRCTQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRCTQ
Thomas L. King,STANDEX INTERNATIONAL CORP,6/30/1995,7/1/1985,1995,760,65,chmn. & CEO,MALE,Salem,NH,SXI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SXI
Edward J. Trainor,STANDEX INTERNATIONAL CORP,12/1/2002,7/1/1995,2002,700,62,chairman & CEO,MALE,Salem,NH,SXI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SXI
Roger L. Fix,STANDEX INTERNATIONAL CORP,1/1/2014,1/1/2003,2014,616.904,61,"Chief Executive Officer, President, Executive Director and Member of Executive Committee",MALE,Salem,NH,SXI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SXI
David A. Dunbar,STANDEX INTERNATIONAL CORP,Current,1/20/2014,2023,892.597,61,"Chairman, President & CEO",MALE,Salem,NH,SXI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SXI
Richard H. Ayers,STANLEY BLACK & DECKER INC,12/31/1996,4/1/1987,1996,527.5,53,chmn. & CEO,MALE,New Britain,CT,SWK,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWK
John M. Trani,STANLEY BLACK & DECKER INC,Current,12/31/1996,2003,1200,58,chairman & CEO,MALE,New Britain,CT,SWK,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWK
John F. Lundgren,STANLEY BLACK & DECKER INC,Current,3/1/2004,2016,1387.5,64,Special Advisor,MALE,New Britain,CT,SWK,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWK
James M. Loree,STANLEY BLACK & DECKER INC,7/1/2022,8/1/2016,2021,1304,63,CEO & Director,MALE,New Britain,CT,SWK,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWK
"Donald Allan, Jr.",STANLEY BLACK & DECKER INC,Current,7/1/2022,2023,1250,59,"President, CEO & Director",MALE,New Britain,CT,SWK,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWK
